variant,l1i_size,l1d_size,l2_size,l1_assoc,l2_assoc,sim_ticks,ipc,cpi,l1d_miss_rate,l1i_miss_rate,l2_miss_rate,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
chunked,32KiB,32KiB,256KiB,16,4,4367082844000,0.266206,3.756493,0.020486,0.0,0.674778,0.9795138986202219,0.9999997222795242,0.32522212957181496,6301619,4252494
chunked,32KiB,128KiB,512KiB,16,8,4262444682000,0.272741,3.666485,0.016055,0.0,0.72955,0.983944596355011,0.9999997222795242,0.27045033145298736,4938716,3603364
chunked,32KiB,128KiB,256KiB,4,4,4322646993000,0.268942,3.71827,0.015978,0.0,0.864998,0.9840224365436097,0.9999997210171584,0.13500229898153085,4914772,4251654
chunked,32KiB,64KiB,512KiB,4,4,4282158216000,0.271485,3.683442,0.018127,0.0,0.643426,0.9818730148439686,0.9999997210171584,0.3565735694334258,5575944,3587998
chunked,32KiB,128KiB,1MB,8,4,4198881246000,0.27687,3.611808,0.01603,0.0,0.594252,0.9839704412221744,0.9999997222795242,0.4057475119706879,4930766,2930385
chunked,32KiB,64KiB,256KiB,8,16,4346174587000,0.267486,3.738508,0.01819,0.0,0.764195,0.9818096802902482,0.9999997222795242,0.2358054294308376,5595426,4276335
chunked,32KiB,32KiB,256KiB,4,16,4368667260000,0.266109,3.757856,0.020317,0.0,0.684177,0.979683343421013,0.9999997210171584,0.31582293924186533,6249497,4276069
chunked,32KiB,32KiB,1MB,8,16,4244589072000,0.273888,3.651126,0.020408,0.0,0.470894,0.9795924962747388,0.9999997222795242,0.5291064447151653,6277442,2956217
chunked,32KiB,128KiB,256KiB,8,4,4323023898000,0.268919,3.718594,0.01603,0.0,0.862176,0.9839704412221744,0.9999997222795242,0.13782412924043824,4930766,4251572
chunked,32KiB,128KiB,256KiB,8,16,4324079386000,0.268853,3.719502,0.01603,0.0,0.867095,0.9839704412221744,0.9999997222795242,0.13290485178897196,4930766,4275830
chunked,32KiB,64KiB,512KiB,8,4,4282473011000,0.271465,3.683713,0.01819,0.0,0.641186,0.9818096802902482,0.9999997222795242,0.35881378273127046,5595426,3587996
